Date,Open,High,Low,Close,Volume,Adj Close
2016-05-02,15.50,15.50,15.50,15.50,000,14.5967
2016-04-29,16.00,16.02,15.50,15.50,57000,14.5967
2016-04-28,16.32,16.70,15.79,16.00,182300,15.0675
2016-04-27,15.73,15.73,15.73,15.73,000,14.8133
2016-04-26,16.00,16.98,15.49,15.73,112500,14.8133
2016-04-25,16.60,17.00,16.35,16.35,130400,15.3971
2016-04-22,17.78,17.79,16.61,16.61,464200,15.642
2016-04-21,17.51,18.00,17.00,17.10,40300,16.1034
2016-04-20,17.99,18.00,17.80,17.95,87100,16.9039
2016-04-19,18.00,18.40,17.99,17.99,51300,16.9416
2016-04-18,17.82,18.00,17.61,17.75,61400,16.7156
2016-04-15,18.00,18.00,17.25,18.00,135400,16.951
2016-04-14,17.25,17.25,17.00,17.20,84200,16.1976
2016-04-13,17.50,17.50,17.20,17.25,1271900,16.2447
2016-04-12,17.30,17.70,16.88,17.20,113900,16.1976
2016-04-11,17.50,18.00,17.01,17.70,59700,16.6685
2016-04-08,16.50,17.64,16.50,17.64,167600,16.612
2016-04-07,16.00,16.50,15.40,16.50,33100,15.5384
2016-04-06,16.01,16.37,16.00,16.00,32600,15.0675
2016-04-05,16.01,16.40,16.01,16.40,24500,15.4442
2016-04-04,16.20,16.30,15.41,16.30,83000,15.3501
2016-04-01,15.00,16.00,15.00,16.00,55300,15.0675
2016-03-31,15.20,16.24,14.95,15.00,154800,14.1258
2016-03-30,15.00,15.39,14.75,15.00,141100,14.1258
2016-03-29,14.60,15.00,14.60,14.61,5800,13.7585
2016-03-28,15.09,15.09,15.09,15.09,000,14.2106
2016-03-25,15.09,15.09,15.09,15.09,000,14.2106
2016-03-24,15.18,15.18,14.50,15.09,8900,14.2106
2016-03-23,14.90,15.50,14.77,15.30,52200,14.4083
2016-03-22,14.45,15.20,14.30,14.90,201500,14.0316
2016-03-21,14.50,14.50,14.50,14.50,000,13.655
2016-03-18,14.45,15.65,14.45,14.50,90300,13.655
2016-03-17,14.79,15.30,14.13,14.45,280900,13.6079
2016-03-16,15.48,15.49,14.50,14.50,25900,13.655
2016-03-15,15.28,15.63,14.33,14.69,130300,13.8339
2016-03-14,15.90,15.90,14.81,15.30,53500,14.4083
2016-03-11,16.00,16.00,15.00,15.69,160500,14.7756
2016-03-10,15.50,16.13,15.10,15.34,44800,14.446
2016-03-09,15.00,16.25,15.00,16.25,31000,15.303
2016-03-08,17.00,17.00,15.50,15.58,23000,14.672
2016-03-07,15.90,17.04,15.23,17.00,34100,16.0093
2016-03-04,14.50,15.99,14.31,15.20,564600,14.3142
2016-03-03,14.79,14.81,14.00,14.55,848600,13.702
2016-03-02,14.83,14.90,14.06,14.79,274900,13.9281
2016-03-01,14.80,15.00,14.00,14.80,143400,13.9375
2016-02-29,14.54,14.95,13.95,14.95,507300,14.0787
2016-02-26,14.90,14.90,14.54,14.70,173100,13.8433
2016-02-25,15.35,15.35,14.50,14.90,44600,14.0316
2016-02-24,14.51,15.25,14.51,14.75,246100,13.8904
2016-02-23,15.30,15.43,14.61,15.10,26300,14.22
2016-02-22,15.68,16.00,15.30,15.44,35800,14.5402
2016-02-19,15.80,15.80,15.29,15.53,86000,14.6249
2016-02-18,15.23,16.00,15.00,15.69,335200,14.7756
2016-02-17,16.99,17.00,15.52,16.00,216800,15.0675
2016-02-16,17.89,18.00,16.21,16.36,92000,15.4066
2016-02-15,17.26,17.89,16.71,17.12,220800,16.1223
2016-02-12,18.05,19.99,17.25,17.25,233400,16.2447
2016-02-11,17.84,18.50,17.01,18.05,29900,16.9981
2016-02-10,17.76,18.49,17.75,18.13,71900,17.0734
2016-02-09,18.20,18.20,17.22,17.75,88700,16.7156
2016-02-08,17.99,17.99,17.00,17.90,55400,16.8568
2016-02-05,18.20,18.50,17.75,18.00,273000,16.951
2016-02-04,16.96,18.10,16.96,17.87,50100,16.8286
2016-02-03,17.94,17.95,17.26,17.50,115900,16.4801
2016-02-02,18.20,18.20,17.50,17.98,15900,16.9321
2016-02-01,17.64,18.30,17.33,18.20,73300,17.1393
2016-01-29,17.50,17.69,16.81,17.63,159300,16.6025
